task,claude-opus-4.5,claude-opus-4.6,claude-sonnet-4.5,deepseek-v3.2,doubao-seed-2.0-pro,gemini-2.5-pro,gemini-3-pro,gpt-5,gpt-5.2,kimi-k2.5
aime_2025,0.7777777777777778,0.3333333333333333,1.0,0.6666666666666666,0.1111111111111111,0.8888888888888888,0.4444444444444444,0.5555555555555556,0.0,0.2222222222222222
arc_agi_1,0.4444444444444444,0.0,0.5555555555555556,0.8888888888888888,0.2222222222222222,1.0,0.3333333333333333,0.6666666666666666,0.1111111111111111,0.7777777777777778
arc_agi_2,0.2222222222222222,0.0,0.5555555555555556,1.0,0.3333333333333333,0.8888888888888888,0.4444444444444444,0.7777777777777778,0.1111111111111111,0.6666666666666666
browsecomp,0.2222222222222222,0.0,0.8888888888888888,0.7777777777777778,0.1111111111111111,1.0,0.5555555555555556,0.6666666666666666,0.3333333333333333,0.4444444444444444
gpqa_diamond,0.5555555555555556,0.2222222222222222,0.8888888888888888,1.0,0.3333333333333333,0.6666666666666666,0.1111111111111111,0.7777777777777778,0.0,0.4444444444444444
hle,0.4444444444444444,0.0,1.0,0.6666666666666666,0.3333333333333333,0.8888888888888888,0.1111111111111111,0.7777777777777778,0.2222222222222222,0.5555555555555556
hmmt_nov_2025,0.4444444444444444,0.1111111111111111,0.8888888888888888,0.6666666666666666,0.2777777777777778,1.0,0.2777777777777778,0.7777777777777778,0.0,0.5555555555555556
mmlu_pro,0.1111111111111111,0.2222222222222222,0.3333333333333333,1.0,0.6666666666666666,0.8888888888888888,0.0,0.4444444444444444,0.7777777777777778,0.5555555555555556
scicode,0.3333333333333333,0.16666666666666666,0.6666666666666666,1.0,0.5555555555555556,0.7777777777777778,0.0,0.8888888888888888,0.16666666666666666,0.4444444444444444
swe_bench_verified,0.0,0.1111111111111111,0.3333333333333333,0.8888888888888888,0.5555555555555556,1.0,0.6666666666666666,0.7777777777777778,0.2222222222222222,0.4444444444444444
terminal_bench,0.2222222222222222,0.0,0.6666666666666666,0.7777777777777778,0.4444444444444444,1.0,0.3333333333333333,0.8888888888888888,0.1111111111111111,0.5555555555555556
