task,LR (tuned + ensemble),RF (tuned + ensemble),XT (tuned + ensemble),CAT (tuned + ensemble),GBM (tuned + ensemble),XGB (tuned + ensemble),TA-REALMLP (tuned + ensemble),TA-TABM (tuned + ensemble),TA-TABDPT (default),TA-TABPFN-2.6 (default),TA-TABICLv2 (default)
5g_energy_consumption-10eca1f7da02,1.0,0.17342469299570584,0.1427507070356217,0.052816453988873115,0.03264179977026259,0.031349122789624144,0.0243893506971899,0.0,0.4765814577553277,0.06025081511643257,0.0767854934023429
acquire_valued_shoppers_challenge-f519aa482bb5,1.0,0.669777826886889,0.7249615002074828,0.7180521554649358,0.6669204559105656,0.675667889600776,0.654991996244038,0.6077272113864074,0.43968000302574173,0.0,0.8996709924078184
airfoil_self_noise-6278f0ada559,1.0,0.24403824274978303,0.18814004583603297,0.09144394802360481,0.151035039958023,0.1260338360221983,0.02171451539980602,0.03634807018004832,0.025712374464206662,0.0,0.01938630499127094
amazon_employee_access-4417c4c952bc,0.3041039324732078,0.7401611022767046,0.6485750462158905,0.0,0.29335831611186763,0.3109844828400903,0.17794829413460816,0.3483477517910171,1.0,0.4686488952063737,0.3576217886345063
anes_voting_2026-58a0e941922e,0.30009191838715565,0.4462311335811597,0.5003376043749006,0.03873258092064126,0.010265428400287982,0.0,0.058129485879196696,0.05161656187494161,1.0,0.09571848210801336,0.09618676550614479
aps_failure-b63fc6330117,0.9564451566262928,0.7118196538934787,0.630850559334088,0.5086374113042327,0.509866160992419,0.45902191191266695,0.44606280443794755,0.5288655943804021,1.0,0.379513457818358,0.0
asp_potassco_classification-6cbac33e4d1f,1.0,0.0700197580488509,0.07384731899612658,0.042957200228316464,0.12902980370293865,0.10743080676827503,0.02810879935294554,0.02970679824117879,0.21721382613472198,0.008106473609803835,0.0
audiology_diagnosis-90d4820bace0,0.08273539055240826,0.7226939018787255,0.8855471880169768,0.5315810978097328,0.6445180857103557,0.5539092910052201,0.13253370642302287,0.6365030816697463,1.0,0.4542004326737322,0.0
bad_customer_detection-7b2ea3462dce,0.6618594600723469,0.6502310206555799,1.0,0.03881452279352938,0.2597352474940951,0.02016061332222811,0.4709746913001472,0.8255363407810867,0.18677894626671304,0.0,0.194409496377152
bank_customer_churn-b1fc11f3ea36,1.0,0.15597195561769375,0.10024103037289347,0.013613231877352625,0.029912814994491537,0.05440180759999605,0.010916656655683855,0.004843611417120486,0.045463491438693784,0.0,0.013459872149106218
bank_marketing-ba2b45409a51,1.0,0.18884138192918018,0.46440203302200295,0.011292436778421362,0.06868660498470171,0.05146817195977676,0.12233914370632212,0.12412004615193425,0.15214438545629982,0.04304471333951912,0.0
biogeographical_ancestry_prediction-a940a550ed40,1.0,0.694526036803372,0.5887895662750532,0.535323037621801,0.6399054100166421,0.692006439137832,0.24681288087515216,0.11948595320915181,0.5043651878578231,0.0,0.020844013837316846
biomechanical_orthopaedic_prediction-c744da7b0d83,0.0,0.5613466232163615,0.43249901341093416,0.20597738870080445,0.6786946941583776,1.0,0.15514800120975153,0.23684025856809732,0.2573247608719364,0.14664047653675474,0.13748846949936228
bioresponse-63f85b558d70,1.0,0.08254689868946764,0.11980870448471094,0.08187776526185692,0.07947108831836226,0.06137267868687817,0.007074654085797338,0.0473693514169111,0.12027830027481351,0.0,0.2885879065881438
blood_tests_drink_prediction-aeec267edab7,0.6502642346895151,0.7799373367564949,0.6660808022820813,0.8911008741830074,0.9606845299539586,1.0,0.6140755998545863,0.6266875094198625,0.0,0.20587032077176892,0.3629195784999421
blood_transfusion-c0b8fbb104f3,0.03333535641671328,1.0,0.5540163262828881,0.27393560525597105,0.0,0.3988407732224697,0.1509270779595182,0.23451582556975087,0.054524625982458795,0.22399326313234105,0.0570812976056816
body_density_prediction-19548b7220c1,0.4713083009636671,0.6401262439501014,0.40927954085117907,0.6723542875901584,0.7628240196723423,1.0,0.0,0.2059362320042559,0.06946019094498926,0.018057014941048274,0.05587261884657532
california_house_prices_2020-08905ffc576b,0.3805876587226443,0.09715942697767352,0.0971351917734833,0.04031314711383052,0.04120879775386744,0.04791731332666433,0.026189336525990276,0.07586041099304076,1.0,0.0,0.03828716779564859
cardiotocography-172ef52f9a1b,1.0,0.1310349867067953,0.17226159423211745,0.0,0.03738356229083848,0.05393486610300337,0.16011710495388853,0.2501080473658275,0.47990713991902645,0.3728323141173985,0.22224862377795754
churn-4ae7db677764,1.0,0.17363687537620584,0.17326624510967445,0.12823640279870036,0.17690548956339758,0.14749591507635534,0.13637706335303457,0.184444314392155,0.1058283996309267,0.10206704358070932,0.0
