task,CAT (tuned + ensemble),EBM (tuned + ensemble),FASTAI (tuned + ensemble),GBM (tuned + ensemble),KNN (tuned + ensemble),LR (tuned + ensemble),MNCA (tuned + ensemble),NN_TORCH (tuned + ensemble),REALMLP (tuned + ensemble),RF (tuned + ensemble),TABDPT (default),TABM (tuned + ensemble),XGB (tuned + ensemble),XT (tuned + ensemble)
APSFailure,0.23076923076923078,0.5384615384615384,0.6923076923076923,0.07692307692307693,1.0,0.9230769230769231,0.46153846153846156,0.38461538461538464,0.15384615384615385,0.7692307692307693,0.8461538461538461,0.3076923076923077,0.0,0.6153846153846154
Amazon_employee_access,0.0,0.8461538461538461,0.15384615384615385,0.38461538461538464,1.0,0.46153846153846156,0.07692307692307693,0.6153846153846154,0.23076923076923078,0.5384615384615384,0.9230769230769231,0.6923076923076923,0.3076923076923077,0.7692307692307693
Another-Dataset-on-used-Fiat-500,0.23076923076923078,0.6153846153846154,0.7692307692307693,0.15384615384615385,1.0,0.8461538461538461,0.46153846153846156,0.9230769230769231,0.07692307692307693,0.38461538461538464,0.0,0.6923076923076923,0.5384615384615384,0.3076923076923077
Bank_Customer_Churn,0.15384615384615385,0.5384615384615384,0.6153846153846154,0.3076923076923077,1.0,0.9230769230769231,0.23076923076923078,0.46153846153846156,0.07692307692307693,0.8461538461538461,0.7692307692307693,0.0,0.38461538461538464,0.6923076923076923
Bioresponse,0.3076923076923077,0.6153846153846154,0.8461538461538461,0.15384615384615385,0.9230769230769231,1.0,0.38461538461538464,0.6923076923076923,0.23076923076923078,0.07692307692307693,0.7692307692307693,0.46153846153846156,0.0,0.5384615384615384
Diabetes130US,0.07692307692307693,0.46153846153846156,0.6153846153846154,0.0,1.0,0.8461538461538461,0.38461538461538464,0.3076923076923077,0.23076923076923078,0.6923076923076923,0.9230769230769231,0.5384615384615384,0.15384615384615385,0.7692307692307693
E-CommereShippingData,0.38461538461538464,0.0,0.6923076923076923,0.46153846153846156,0.8461538461538461,1.0,0.15384615384615385,0.5384615384615384,0.23076923076923078,0.6153846153846154,0.9230769230769231,0.07692307692307693,0.3076923076923077,0.7692307692307693
Fitness_Club,0.6923076923076923,0.6153846153846154,0.46153846153846156,0.38461538461538464,0.8461538461538461,0.15384615384615385,1.0,0.5384615384615384,0.23076923076923078,0.9230769230769231,0.07692307692307693,0.0,0.7692307692307693,0.3076923076923077
Food_Delivery_Time,0.0,0.3076923076923077,0.8461538461538461,0.07692307692307693,0.9230769230769231,1.0,0.15384615384615385,0.5384615384615384,0.38461538461538464,0.6153846153846154,0.46153846153846156,0.6923076923076923,0.23076923076923078,0.7692307692307693
GiveMeSomeCredit,0.15384615384615385,0.5384615384615384,0.7692307692307693,0.07692307692307693,1.0,0.9230769230769231,0.23076923076923078,0.46153846153846156,0.38461538461538464,0.6153846153846154,0.8461538461538461,0.0,0.3076923076923077,0.6923076923076923
HR_Analytics_Job_Change_of_Data_Scientists,0.15384615384615385,0.6923076923076923,0.5384615384615384,0.07692307692307693,1.0,0.9230769230769231,0.38461538461538464,0.23076923076923078,0.3076923076923077,0.6153846153846154,0.7692307692307693,0.46153846153846156,0.0,0.8461538461538461
Is-this-a-good-customer,0.23076923076923078,0.0,0.15384615384615385,0.07692307692307693,1.0,0.6153846153846154,0.9230769230769231,0.6923076923076923,0.46153846153846156,0.7692307692307693,0.5384615384615384,0.38461538461538464,0.3076923076923077,0.8461538461538461
MIC,0.46153846153846156,0.23076923076923078,0.3076923076923077,0.6153846153846154,1.0,0.9230769230769231,0.38461538461538464,0.5384615384615384,0.07692307692307693,0.7692307692307693,0.8461538461538461,0.0,0.15384615384615385,0.6923076923076923
Marketing_Campaign,0.6923076923076923,0.46153846153846156,0.3076923076923077,0.15384615384615385,1.0,0.5384615384615384,0.38461538461538464,0.07692307692307693,0.23076923076923078,0.9230769230769231,0.7692307692307693,0.0,0.6153846153846154,0.8461538461538461
NATICUSdroid,0.3076923076923077,0.6923076923076923,0.23076923076923078,0.38461538461538464,1.0,0.9230769230769231,0.5384615384615384,0.15384615384615385,0.0,0.8461538461538461,0.6153846153846154,0.07692307692307693,0.46153846153846156,0.7692307692307693
QSAR-TID-11,0.5384615384615384,0.9230769230769231,0.46153846153846156,0.23076923076923078,0.8461538461538461,1.0,0.0,0.07692307692307693,0.15384615384615385,0.7692307692307693,0.6153846153846154,0.3076923076923077,0.38461538461538464,0.6923076923076923
QSAR_fish_toxicity,0.3076923076923077,0.8461538461538461,0.7692307692307693,0.46153846153846156,0.9230769230769231,1.0,0.23076923076923078,0.6923076923076923,0.07692307692307693,0.5384615384615384,0.0,0.6153846153846154,0.38461538461538464,0.15384615384615385
SDSS17,0.23076923076923078,0.5384615384615384,0.8461538461538461,0.07692307692307693,1.0,0.9230769230769231,0.3076923076923077,0.46153846153846156,0.6923076923076923,0.0,0.7692307692307693,0.6153846153846154,0.15384615384615385,0.38461538461538464
airfoil_self_noise,0.23076923076923078,0.8461538461538461,0.6153846153846154,0.46153846153846156,1.0,0.9230769230769231,0.5384615384615384,0.3076923076923077,0.0,0.7692307692307693,0.15384615384615385,0.07692307692307693,0.38461538461538464,0.6923076923076923
anneal,0.0,0.5384615384615384,0.8461538461538461,0.46153846153846156,1.0,0.6923076923076923,0.6153846153846154,0.7692307692307693,0.15384615384615385,0.07692307692307693,0.9230769230769231,0.3076923076923077,0.38461538461538464,0.23076923076923078
bank-marketing,0.15384615384615385,0.46153846153846156,0.5384615384615384,0.0,1.0,0.9230769230769231,0.38461538461538464,0.7692307692307693,0.3076923076923077,0.6153846153846154,0.6923076923076923,0.23076923076923078,0.07692307692307693,0.8461538461538461
blood-transfusion-service-center,0.6153846153846154,0.3076923076923077,0.0,0.38461538461538464,1.0,0.07692307692307693,0.8461538461538461,0.23076923076923078,0.46153846153846156,0.9230769230769231,0.15384615384615385,0.5384615384615384,0.6923076923076923,0.7692307692307693
churn,0.38461538461538464,0.15384615384615385,0.5384615384615384,0.6153846153846154,1.0,0.9230769230769231,0.0,0.7692307692307693,0.07692307692307693,0.8461538461538461,0.3076923076923077,0.23076923076923078,0.6923076923076923,0.46153846153846156
coil2000_insurance_policies,0.38461538461538464,0.3076923076923077,0.6923076923076923,0.23076923076923078,1.0,0.8461538461538461,0.07692307692307693,0.5384615384615384,0.15384615384615385,0.7692307692307693,0.9230769230769231,0.0,0.46153846153846156,0.6153846153846154
concrete_compressive_strength,0.15384615384615385,0.46153846153846156,0.8461538461538461,0.23076923076923078,1.0,0.9230769230769231,0.5384615384615384,0.6153846153846154,0.0,0.7692307692307693,0.38461538461538464,0.07692307692307693,0.3076923076923077,0.6923076923076923
credit-g,0.07692307692307693,0.5384615384615384,0.3076923076923077,0.0,1.0,0.8461538461538461,0.9230769230769231,0.46153846153846156,0.38461538461538464,0.6153846153846154,0.7692307692307693,0.15384615384615385,0.23076923076923078,0.6923076923076923
credit_card_clients_default,0.46153846153846156,0.5384615384615384,0.6153846153846154,0.23076923076923078,1.0,0.9230769230769231,0.07692307692307693,0.38461538461538464,0.15384615384615385,0.7692307692307693,0.8461538461538461,0.0,0.3076923076923077,0.6923076923076923
customer_satisfaction_in_airline,0.23076923076923078,0.8461538461538461,0.15384615384615385,0.38461538461538464,1.0,0.9230769230769231,0.46153846153846156,0.3076923076923077,0.0,0.7692307692307693,0.6153846153846154,0.07692307692307693,0.5384615384615384,0.6923076923076923
diabetes,0.46153846153846156,0.0,0.5384615384615384,0.15384615384615385,1.0,0.6923076923076923,0.9230769230769231,0.8461538461538461,0.3076923076923077,0.7692307692307693,0.07692307692307693,0.38461538461538464,0.6153846153846154,0.23076923076923078
diamonds,0.3076923076923077,0.8461538461538461,0.7692307692307693,0.15384615384615385,1.0,0.9230769230769231,0.0,0.6153846153846154,0.07692307692307693,0.6923076923076923,0.5384615384615384,0.23076923076923078,0.38461538461538464,0.46153846153846156
hazelnut-spread-contaminant-detection,0.6923076923076923,0.5384615384615384,0.23076923076923078,0.46153846153846156,1.0,0.9230769230769231,0.07692307692307693,0.15384615384615385,0.3076923076923077,0.8461538461538461,0.0,0.38461538461538464,0.6153846153846154,0.7692307692307693
healthcare_insurance_expenses,0.3076923076923077,0.0,0.7692307692307693,0.23076923076923078,1.0,0.9230769230769231,0.6153846153846154,0.46153846153846156,0.5384615384615384,0.8461538461538461,0.15384615384615385,0.07692307692307693,0.38461538461538464,0.6923076923076923
heloc,0.38461538461538464,0.07692307692307693,0.6153846153846154,0.3076923076923077,1.0,0.9230769230769231,0.23076923076923078,0.5384615384615384,0.0,0.8461538461538461,0.6923076923076923,0.15384615384615385,0.46153846153846156,0.7692307692307693
hiva_agnostic,0.38461538461538464,0.23076923076923078,0.8461538461538461,0.15384615384615385,0.9230769230769231,1.0,0.6153846153846154,0.46153846153846156,0.5384615384615384,0.07692307692307693,0.7692307692307693,0.3076923076923077,0.6923076923076923,0.0
houses,0.3076923076923077,0.6153846153846154,0.7692307692307693,0.38461538461538464,1.0,0.9230769230769231,0.0,0.5384615384615384,0.07692307692307693,0.6923076923076923,0.23076923076923078,0.15384615384615385,0.46153846153846156,0.8461538461538461
in_vehicle_coupon_recommendation,0.3076923076923077,0.7692307692307693,0.5384615384615384,0.23076923076923078,1.0,0.9230769230769231,0.07692307692307693,0.46153846153846156,0.15384615384615385,0.6153846153846154,0.8461538461538461,0.0,0.38461538461538464,0.6923076923076923
jm1,0.46153846153846156,0.7692307692307693,0.8461538461538461,0.3076923076923077,0.9230769230769231,1.0,0.07692307692307693,0.6923076923076923,0.5384615384615384,0.23076923076923078,0.0,0.6153846153846154,0.38461538461538464,0.15384615384615385
kddcup09_appetency,0.0,0.15384615384615385,0.7692307692307693,0.38461538461538464,1.0,0.8461538461538461,0.46153846153846156,0.3076923076923077,0.23076923076923078,0.5384615384615384,0.9230769230769231,0.6923076923076923,0.07692307692307693,0.6153846153846154
maternal_health_risk,0.38461538461538464,0.8461538461538461,0.9230769230769231,0.46153846153846156,0.6923076923076923,1.0,0.07692307692307693,0.7692307692307693,0.15384615384615385,0.3076923076923077,0.0,0.6153846153846154,0.5384615384615384,0.23076923076923078
miami_housing,0.0,0.8461538461538461,0.6153846153846154,0.07692307692307693,0.9230769230769231,1.0,0.3076923076923077,0.5384615384615384,0.23076923076923078,0.7692307692307693,0.46153846153846156,0.15384615384615385,0.38461538461538464,0.6923076923076923
online_shoppers_intention,0.38461538461538464,0.6923076923076923,0.5384615384615384,0.3076923076923077,1.0,0.9230769230769231,0.23076923076923078,0.07692307692307693,0.46153846153846156,0.6153846153846154,0.8461538461538461,0.0,0.15384615384615385,0.7692307692307693
physiochemical_protein,0.38461538461538464,0.8461538461538461,0.7692307692307693,0.46153846153846156,1.0,0.9230769230769231,0.07692307692307693,0.23076923076923078,0.15384615384615385,0.6153846153846154,0.0,0.3076923076923077,0.5384615384615384,0.6923076923076923
polish_companies_bankruptcy,0.3076923076923077,0.15384615384615385,0.9230769230769231,0.6153846153846154,1.0,0.8461538461538461,0.07692307692307693,0.46153846153846156,0.23076923076923078,0.6923076923076923,0.38461538461538464,0.0,0.5384615384615384,0.7692307692307693
qsar-biodeg,0.5384615384615384,0.46153846153846156,0.15384615384615385,0.38461538461538464,1.0,0.9230769230769231,0.6923076923076923,0.8461538461538461,0.3076923076923077,0.7692307692307693,0.07692307692307693,0.0,0.6153846153846154,0.23076923076923078
seismic-bumps,0.38461538461538464,0.46153846153846156,0.7692307692307693,0.07692307692307693,1.0,0.8461538461538461,0.9230769230769231,0.6923076923076923,0.5384615384615384,0.6153846153846154,0.0,0.15384615384615385,0.3076923076923077,0.23076923076923078
splice,0.38461538461538464,0.5384615384615384,0.07692307692307693,0.0,1.0,0.6923076923076923,0.6153846153846154,0.46153846153846156,0.15384615384615385,0.8461538461538461,0.9230769230769231,0.3076923076923077,0.23076923076923078,0.7692307692307693
students_dropout_and_academic_success,0.15384615384615385,0.6153846153846154,0.07692307692307693,0.3076923076923077,1.0,0.8461538461538461,0.46153846153846156,0.5384615384615384,0.23076923076923078,0.9230769230769231,0.6923076923076923,0.0,0.38461538461538464,0.7692307692307693
