candidate_method,status,hash_ok,shape_ok,maximum_primal_violation,maximum_dual_violation,objective_gap,objective_recalculation_gap,maximum_complementarity_residual,maximum_global_winner_inequality,tv_recalculation_gap,verification_tolerance,certificate_type,dominating_method,minimum_taskwise_gap
CAT (tuned + ensemble),PASS,True,True,1.1102230246251565e-16,1.1102230246251565e-16,1.3877787807814457e-17,1.3877787807814457e-17,4.163336342344337e-17,0.0,3.469446951953614e-16,1e-08,,,
EBM (tuned + ensemble),PASS,True,True,1.5265566588595902e-16,2.0539125955565396e-15,5.551115123125783e-17,1.1102230246251565e-16,8.326672684688674e-17,5.551115123125783e-17,3.885780586188048e-16,1e-08,,,
FASTAI (tuned + ensemble),PASS,True,True,2.636779683484747e-16,6.661338147750939e-16,1.6653345369377348e-16,1.1102230246251565e-16,1.3877787807814457e-16,0.0,2.220446049250313e-16,1e-08,,,
GBM (tuned + ensemble),PASS,True,True,2.220446049250313e-16,0.0,3.469446951953614e-17,0.0,1.3877787807814457e-17,0.0,2.636779683484747e-16,1e-08,,,
KNN (tuned + ensemble),PASS,True,True,,,,,,,,1e-12,strict_taskwise_dominance,CAT (tuned + ensemble),0.15384615384615385
LR (tuned + ensemble),PASS,True,True,2.636779683484747e-16,5.551115123125783e-16,5.551115123125783e-16,2.220446049250313e-16,1.3877787807814457e-16,0.0,5.551115123125783e-16,1e-08,,,
MNCA (tuned + ensemble),PASS,True,True,7.355227538141662e-16,1.5959455978986625e-16,1.6653345369377348e-16,0.0,8.326672684688674e-17,0.0,9.43689570931383e-16,1e-08,,,
NN_TORCH (tuned + ensemble),PASS,True,True,2.0816681711721685e-16,4.440892098500626e-16,1.1102230246251565e-16,2.220446049250313e-16,1.110223024625157e-16,0.0,1.6653345369377348e-16,1e-08,,,
REALMLP (tuned + ensemble),PASS,True,True,7.494005416219807e-16,0.0,0.0,0.0,0.0,0.0,7.216449660063518e-16,1e-08,,,
RF (tuned + ensemble),PASS,True,True,3.191891195797325e-16,3.3306690738754696e-16,2.220446049250313e-16,5.551115123125783e-16,1.6653345369377348e-16,5.551115123125783e-17,0.0,1e-08,,,
TABDPT (default),PASS,True,True,2.220446049250313e-16,6.938893903907228e-17,1.3877787807814457e-16,2.7755575615628914e-17,1.1102230246251565e-16,5.551115123125783e-17,4.718447854656915e-16,1e-08,,,
TABM (tuned + ensemble),PASS,True,True,4.119968255444917e-18,1.1102230246251565e-16,0.0,6.938893903907228e-18,6.530723674265626e-18,0.0,0.0,1e-08,,,
XGB (tuned + ensemble),PASS,True,True,2.220446049250313e-16,8.326672684688674e-17,5.551115123125783e-17,5.551115123125783e-17,5.551115123125783e-17,0.0,3.885780586188048e-16,1e-08,,,
XT (tuned + ensemble),PASS,True,True,2.636779683484747e-16,5.551115123125783e-17,2.7755575615628914e-16,2.7755575615628914e-16,1.8251853896624913e-16,5.551115123125783e-17,2.220446049250313e-16,1e-08,,,
