case_id,winner,competitor,nominal_gap,finite,finite_or_infinite_reason,radius_tv_primal_dual,radius_tv_lp,radius_tv_transport,lp_transport_abs_diff,range_lower_bound,verification_status,objective_gap,maximum_primal_violation,maximum_dual_violation,maximum_complementarity_residual,mathematical_tie_tolerance,verification_tolerance
primary11__all__rank__equal,TA-TABPFN-2.6 (default),LR (tuned + ensemble),0.555737704918033,True,finite_pairwise_boundary,0.3635831381733022,0.3635831381733022,0.3635831381733022,0.0,0.3473360655737706,PASS,0.0,3.3306690738754696e-16,8.326672684688674e-17,1.0318964002297625e-17,1e-12,1e-08
primary11__all__rank__equal,TA-TABPFN-2.6 (default),RF (tuned + ensemble),0.4934426229508198,True,finite_pairwise_boundary,0.3763040238450076,0.3763040238450076,0.3763040238450076,0.0,0.3289617486338799,PASS,5.551115123125783e-17,5.551115123125784e-16,4.440892098500626e-16,4.3742952628208005e-17,1e-12,1e-08
primary11__all__rank__equal,TA-TABPFN-2.6 (default),XT (tuned + ensemble),0.4139344262295084,True,finite_pairwise_boundary,0.2792740046838409,0.2792740046838409,0.279274004683841,5.551115123125783e-17,0.2434908389585343,PASS,1.1102230246251563e-16,4.440892098500626e-16,1.1102230246251563e-16,1.710246405853247e-17,1e-12,1e-08
primary11__all__rank__equal,TA-TABPFN-2.6 (default),CAT (tuned + ensemble),0.2016393442622951,True,finite_pairwise_boundary,0.1219262295081969,0.1219262295081969,0.1219262295081968,1.3877787807814454e-16,0.1186113789778206,PASS,1.3877787807814454e-16,4.440892098500626e-16,2.7755575615628914e-16,1.390222679121065e-17,1e-12,1e-08
primary11__all__rank__equal,TA-TABPFN-2.6 (default),GBM (tuned + ensemble),0.228688524590164,True,finite_pairwise_boundary,0.1437158469945357,0.1437158469945357,0.1437158469945356,5.551115123125783e-17,0.1345226615236258,PASS,1.3877787807814454e-16,4.440892098500626e-16,1.1102230246251563e-16,5.120278063108593e-18,1e-12,1e-08
primary11__all__rank__equal,TA-TABPFN-2.6 (default),XGB (tuned + ensemble),0.3081967213114755,True,finite_pairwise_boundary,0.2014051522248245,0.2014051522248245,0.2014051522248245,2.775557561562892e-17,0.1812921890067503,PASS,5.551115123125783e-17,4.440892098500626e-16,1.1102230246251563e-16,3.45644668234442e-17,1e-12,1e-08
primary11__all__rank__equal,TA-TABPFN-2.6 (default),TA-REALMLP (tuned + ensemble),0.0852459016393443,True,finite_pairwise_boundary,0.0562060889929743,0.0562060889929743,0.0562060889929742,5.551115123125783e-17,0.0501446480231437,PASS,9.714451465470121e-17,3.3306690738754696e-16,4.163336342344337e-17,3.457056069982352e-17,1e-12,1e-08
primary11__all__rank__equal,TA-TABPFN-2.6 (default),TA-TABM (tuned + ensemble),0.1934426229508197,True,finite_pairwise_boundary,0.1475409836065575,0.1475409836065575,0.1475409836065574,5.551115123125783e-17,0.1289617486338798,PASS,1.1102230246251563e-16,2.5361230647434373e-16,5.551115123125783e-17,2.5240226575462543e-16,1e-12,1e-08
primary11__all__rank__equal,TA-TABPFN-2.6 (default),TA-TABDPT (default),0.3352459016393443,True,finite_pairwise_boundary,0.1890368852459018,0.1890368852459018,0.1890368852459016,1.3877787807814454e-16,0.1764452113891285,PASS,8.326672684688674e-17,4.440892098500626e-16,2.775557561562892e-17,3.7947076036992655e-18,1e-12,1e-08
primary11__all__rank__equal,TA-TABPFN-2.6 (default),TA-TABICLv2 (default),0.0336065573770491,True,finite_pairwise_boundary,0.0186703096539161,0.0186703096539161,0.0186703096539162,5.898059818321144e-17,0.0186703096539162,PASS,7.28583859910259e-17,4.440892098500626e-16,1.1102230246251563e-16,3.9947616657626194e-18,1e-12,1e-08
primary11__iid__rank__equal,TA-TABICLv2 (default),LR (tuned + ensemble),0.5958762886597937,True,finite_pairwise_boundary,0.3207331042382587,0.3207331042382587,0.3207331042382588,1.1102230246251563e-16,0.3136190992946283,PASS,1.1102230246251563e-16,1.1102230246251563e-15,1.3877787807814457e-17,4.04768811061255e-17,1e-12,1e-08
primary11__iid__rank__equal,TA-TABICLv2 (default),RF (tuned + ensemble),0.5319587628865978,True,finite_pairwise_boundary,0.390034364261168,0.390034364261168,0.3900343642611684,3.8857805861880484e-16,0.3546391752577318,PASS,3.3306690738754696e-16,1.3322676295501878e-15,5.551115123125783e-17,5.185094430943735e-17,1e-12,1e-08
primary11__iid__rank__equal,TA-TABICLv2 (default),XT (tuned + ensemble),0.4628865979381442,True,finite_pairwise_boundary,0.2852233676975946,0.2852233676975946,0.2852233676975944,1.6653345369377348e-16,0.2722862340812613,PASS,1.6653345369377348e-16,1.5543122344752194e-15,5.551115123125783e-17,6.46104017939073e-17,1e-12,1e-08
primary11__iid__rank__equal,TA-TABICLv2 (default),CAT (tuned + ensemble),0.2639175257731958,True,finite_pairwise_boundary,0.1919111816019033,0.1919111816019033,0.1919111816019031,1.9428902930940242e-16,0.1759450171821305,PASS,8.326672684688674e-17,1.1102230246251563e-15,1.6653345369377348e-16,4.589794928825552e-17,1e-12,1e-08
primary11__iid__rank__equal,TA-TABICLv2 (default),GBM (tuned + ensemble),0.302061855670103,True,finite_pairwise_boundary,0.1810567010309277,0.1810567010309277,0.1810567010309277,0.0,0.1678121420389461,PASS,5.551115123125783e-17,1.3322676295501878e-15,8.326672684688674e-17,5.64500479579463e-17,1e-12,1e-08
