candidate_method,candidate_display_name,nominal_aggregate_score,pairwise_radius_against_nominal_winner,global_feasible_winner_entry_radius_tv,global_minus_pairwise_radius,globally_feasible,tied_global_winners_at_entry,maximum_candidate_minus_competitor_score,changed_task_weights,verification_status
REALMLP (tuned + ensemble),RealMLP,0.2277526395173454,0.0,0.0,0.0,True,RealMLP,0.0,0,PASS
GBM (tuned + ensemble),LightGBM,0.26998491704374056,0.0366013071895425,0.03660130718954253,2.7755575615628914e-17,True,LightGBM; RealMLP,0.0,3,PASS
TABM (tuned + ensemble),TabM,0.26847662141779793,0.0392156862745097,0.0392156862745098,1.0408340855860843e-16,True,RealMLP; TabM,2.7755575615628914e-17,3,PASS
CAT (tuned + ensemble),CatBoost,0.3076923076923077,0.0909090909090909,0.10071301247771837,0.009803921568627472,True,CatBoost; LightGBM; RealMLP,0.0,7,PASS
MNCA (tuned + ensemble),ModernNCA,0.3725490196078431,0.1357466063348415,0.13608428446005252,0.00033767812521101614,True,LightGBM; ModernNCA; RealMLP,0.0,9,PASS
XGB (tuned + ensemble),XGBoost,0.38009049773755654,0.1454248366013072,0.2254021369026652,0.079977300301358,True,CatBoost; LightGBM; RealMLP; TabM; XGBoost,1.1102230246251565e-16,16,PASS
TABDPT (default),TabDPT,0.4992458521870287,0.2156862745098039,0.22861452273216962,0.012928248222365712,True,LightGBM; RealMLP; TabDPT,1.6653345369377348e-16,13,PASS
FASTAI (tuned + ensemble),FastAI,0.5837104072398189,0.3092006033182503,0.32598039215686286,0.016779788838612586,True,FastAI; LightGBM; RealMLP,5.551115123125783e-17,18,PASS
EBM (tuned + ensemble),EBM,0.5279034690799397,0.2366013071895424,0.3292181069958848,0.09261679980634238,True,EBM; LightGBM; RealMLP; TabM,1.1102230246251565e-16,20,PASS
NN_TORCH (tuned + ensemble),NN-Torch,0.49170437405731526,0.2727272727272726,0.34886681945505493,0.07613954672778234,True,LightGBM; NN-Torch; RealMLP; TabM,5.551115123125783e-17,21,PASS
XT (tuned + ensemble),ExtraTrees,0.5897435897435895,0.3095238095238095,0.4062927496580028,0.09676894013419335,True,LightGBM; RealMLP; ExtraTrees,1.6653345369377348e-16,23,PASS
RF (tuned + ensemble),RandomForest,0.6530920060331825,0.2975778546712805,0.5056142114965647,0.2080363568252842,True,CatBoost; LightGBM; RandomForest; ExtraTrees,5.551115123125783e-17,29,PASS
LR (tuned + ensemble),Linear,0.8582202111613875,0.5203619909502266,0.6461147098161596,0.12575271886593298,True,FastAI; LightGBM; Linear; TabDPT; TabM,5.551115123125783e-17,36,PASS
KNN (tuned + ensemble),KNN,0.9698340874811462,inf,inf,,False,,inf,0,INFEASIBLE
