candidate,expected_finite,observed_finite,expected_radius_tv,observed_radius_tv,absolute_difference,strict_taskwise_dominator_if_infeasible,status
REALMLP (tuned + ensemble),True,True,0.0,0.0,0.0,,PASS
GBM (tuned + ensemble),True,True,0.0366013071895425,0.0366013071895425,0.0,,PASS
TABM (tuned + ensemble),True,True,0.0392156862745098,0.0392156862745098,0.0,,PASS
CAT (tuned + ensemble),True,True,0.1007130124777183,0.10071301247771834,4.163336342344337e-17,,PASS
MNCA (tuned + ensemble),True,True,0.1360842844600525,0.13608428446005258,8.326672684688674e-17,,PASS
XGB (tuned + ensemble),True,True,0.2254021369026652,0.22540213690266517,2.7755575615628914e-17,,PASS
TABDPT (default),True,True,0.2286145227321696,0.2286145227321697,1.1102230246251565e-16,,PASS
FASTAI (tuned + ensemble),True,True,0.3259803921568628,0.32598039215686286,5.551115123125783e-17,,PASS
EBM (tuned + ensemble),True,True,0.3292181069958848,0.32921810699588483,5.551115123125783e-17,,PASS
NN_TORCH (tuned + ensemble),True,True,0.3488668194550549,0.34886681945505466,2.220446049250313e-16,,PASS
XT (tuned + ensemble),True,True,0.4062927496580028,0.40629274965800266,1.6653345369377348e-16,,PASS
RF (tuned + ensemble),True,True,0.5056142114965647,0.5056142114965644,3.3306690738754696e-16,,PASS
LR (tuned + ensemble),True,True,0.6461147098161596,0.6461147098161596,0.0,,PASS
KNN (tuned + ensemble),False,False,inf,inf,0.0,CAT (tuned + ensemble),PASS
