candidate,rival,exact_radius,lp_radius
TabPFN-2.6,LR (tuned + ensemble),773/1988,0.38883299798792725
TabPFN-2.6,RF (tuned + ensemble),689/1704,0.4043427230046946
TabPFN-2.6,XT (tuned + ensemble),615/1988,0.3093561368209252
TabPFN-2.6,CAT (tuned + ensemble),323/2272,0.1421654929577462
TabPFN-2.6,GBM (tuned + ensemble),173/1065,0.16244131455399036
TabPFN-2.6,XGB (tuned + ensemble),108/497,0.2173038229376255
TabPFN-2.6,TA-REALMLP (tuned + ensemble),76/923,0.08234019501625123
TabPFN-2.6,TA-TABM (tuned + ensemble),301/1704,0.17664319248826274
TabPFN-2.6,TA-TABDPT (default),389/2272,0.1712147887323942
TabPFN-2.6,TA-TABICLv2 (default),96/1207,0.07953603976801991
RealMLP,LR (tuned + ensemble),319/923,0.3456121343445284
RealMLP,RF (tuned + ensemble),79/284,0.27816901408450667
RealMLP,XT (tuned + ensemble),963/4544,0.21192781690140805
RealMLP,CAT (tuned + ensemble),301/3408,0.08832159624413131
RealMLP,GBM (tuned + ensemble),91/710,0.12816901408450695
RealMLP,XGB (tuned + ensemble),43/284,0.15140845070422515
RealMLP,TA-TABM (tuned + ensemble),137/1420,0.09647887323943645
RealMLP,TA-TABDPT (default),669/4544,0.14722711267605615
RealMLP,TA-TABPFN-2.6 (default),31/1349,0.02297998517420314
RealMLP,TA-TABICLv2 (default),55/2414,0.02278376139188077
