{'candidate': 'LR (tuned + ensemble)', 'complete_case_radius_exact': '0', 'lower_radius_exact': '0', 'lower_radius': 0.0, 'upper_feasible_exact': '0', 'upper_feasible': 0.0, 'upper_relaxation_exact': '0', 'upper_relaxation': 0.0, 'sharp_upper': True, 'lower_binding': 'RF (tuned + ensemble)', 'upper_construction_rival': 'RF (tuned + ensemble)', 'lower_nominal_winner': 'TA-TABPFN-2.6 (default)', 'upper_nominal_winner': 'TA-TABPFN-2.6 (default)'}
{'candidate': 'RF (tuned + ensemble)', 'complete_case_radius_exact': '0', 'lower_radius_exact': '0', 'lower_radius': 0.0, 'upper_feasible_exact': '0', 'upper_feasible': 0.0, 'upper_relaxation_exact': '0', 'upper_relaxation': 0.0, 'sharp_upper': True, 'lower_binding': 'XT (tuned + ensemble)', 'upper_construction_rival': 'LR (tuned + ensemble)', 'lower_nominal_winner': 'TA-TABPFN-2.6 (default)', 'upper_nominal_winner': 'TA-TABPFN-2.6 (default)'}
{'candidate': 'XT (tuned + ensemble)', 'complete_case_radius_exact': '0', 'lower_radius_exact': '0', 'lower_radius': 0.0, 'upper_feasible_exact': '0', 'upper_feasible': 0.0, 'upper_relaxation_exact': '0', 'upper_relaxation': 0.0, 'sharp_upper': True, 'lower_binding': 'CAT (tuned + ensemble)', 'upper_construction_rival': 'LR (tuned + ensemble)', 'lower_nominal_winner': 'TA-TABPFN-2.6 (default)', 'upper_nominal_winner': 'TA-TABPFN-2.6 (default)'}
{'candidate': 'CAT (tuned + ensemble)', 'complete_case_radius_exact': '0', 'lower_radius_exact': '0', 'lower_radius': 0.0, 'upper_feasible_exact': '0', 'upper_feasible': 0.0, 'upper_relaxation_exact': '0', 'upper_relaxation': 0.0, 'sharp_upper': True, 'lower_binding': 'TA-REALMLP (tuned + ensemble)', 'upper_construction_rival': 'LR (tuned + ensemble)', 'lower_nominal_winner': 'TA-TABPFN-2.6 (default)', 'upper_nominal_winner': 'TA-TABPFN-2.6 (default)'}
{'candidate': 'GBM (tuned + ensemble)', 'complete_case_radius_exact': '0', 'lower_radius_exact': '0', 'lower_radius': 0.0, 'upper_feasible_exact': '0', 'upper_feasible': 0.0, 'upper_relaxation_exact': '0', 'upper_relaxation': 0.0, 'sharp_upper': True, 'lower_binding': 'CAT (tuned + ensemble)', 'upper_construction_rival': 'LR (tuned + ensemble)', 'lower_nominal_winner': 'TA-TABPFN-2.6 (default)', 'upper_nominal_winner': 'TA-TABPFN-2.6 (default)'}
{'candidate': 'XGB (tuned + ensemble)', 'complete_case_radius_exact': '0', 'lower_radius_exact': '0', 'lower_radius': 0.0, 'upper_feasible_exact': '0', 'upper_feasible': 0.0, 'upper_relaxation_exact': '0', 'upper_relaxation': 0.0, 'sharp_upper': True, 'lower_binding': 'CAT (tuned + ensemble)', 'upper_construction_rival': 'LR (tuned + ensemble)', 'lower_nominal_winner': 'TA-TABPFN-2.6 (default)', 'upper_nominal_winner': 'TA-TABPFN-2.6 (default)'}
{'candidate': 'TA-REALMLP (tuned + ensemble)', 'complete_case_radius_exact': '0', 'lower_radius_exact': '0', 'lower_radius': 0.0, 'upper_feasible_exact': '49/2414', 'upper_feasible': 0.020298260149130075, 'upper_relaxation_exact': '69/2698', 'upper_relaxation': 0.02557449962935508, 'sharp_upper': False, 'lower_binding': 'TA-TABPFN-2.6 (default)', 'upper_construction_rival': 'TA-TABPFN-2.6 (default)', 'lower_nominal_winner': 'TA-TABPFN-2.6 (default)', 'upper_nominal_winner': 'TA-REALMLP (tuned + ensemble)'}
{'candidate': 'TA-TABM (tuned + ensemble)', 'complete_case_radius_exact': '0', 'lower_radius_exact': '0', 'lower_radius': 0.0, 'upper_feasible_exact': '0', 'upper_feasible': 0.0, 'upper_relaxation_exact': '0', 'upper_relaxation': 0.0, 'sharp_upper': True, 'lower_binding': 'CAT (tuned + ensemble)', 'upper_construction_rival': 'LR (tuned + ensemble)', 'lower_nominal_winner': 'TA-TABPFN-2.6 (default)', 'upper_nominal_winner': 'TA-TABPFN-2.6 (default)'}
{'candidate': 'TA-TABDPT (default)', 'complete_case_radius_exact': '0', 'lower_radius_exact': '0', 'lower_radius': 0.0, 'upper_feasible_exact': '0', 'upper_feasible': 0.0, 'upper_relaxation_exact': '0', 'upper_relaxation': 0.0, 'sharp_upper': True, 'lower_binding': 'CAT (tuned + ensemble)', 'upper_construction_rival': 'LR (tuned + ensemble)', 'lower_nominal_winner': 'TA-TABPFN-2.6 (default)', 'upper_nominal_winner': 'TA-TABPFN-2.6 (default)'}
{'candidate': 'TA-TABPFN-2.6 (default)', 'complete_case_radius_exact': '41/2196', 'lower_radius_exact': '0', 'lower_radius': 0.0, 'upper_feasible_exact': '96/1207', 'upper_feasible': 0.07953603976801989, 'upper_relaxation_exact': '96/1207', 'upper_relaxation': 0.07953603976801989, 'sharp_upper': True, 'lower_binding': 'TA-REALMLP (tuned + ensemble)', 'upper_construction_rival': 'LR (tuned + ensemble)', 'lower_nominal_winner': 'TA-REALMLP (tuned + ensemble)', 'upper_nominal_winner': 'TA-TABPFN-2.6 (default)'}
{'candidate': 'TA-TABICLv2 (default)', 'complete_case_radius_exact': '0', 'lower_radius_exact': '0', 'lower_radius': 0.0, 'upper_feasible_exact': '0', 'upper_feasible': 0.0, 'upper_relaxation_exact': '0', 'upper_relaxation': 0.0, 'sharp_upper': True, 'lower_binding': 'TA-REALMLP (tuned + ensemble)', 'upper_construction_rival': 'LR (tuned + ensemble)', 'lower_nominal_winner': 'TA-TABPFN-2.6 (default)', 'upper_nominal_winner': 'TA-TABPFN-2.6 (default)'}
