first_cutoff_gap_units,second_cutoff_gap_units,first_unknown_clipped_sum_strict_threshold,first_unknown_clipped_sum_integer_minimum,max_second_partial_clipped_sum,second_known_clipped_sum,max_scaled_margin_exact,all_nonpositive,dp_final_states
18,14,238,239,273,-210,-689/17,True,79
18,15,238,239,285,-209,-523/17,True,79
18,16,238,239,297,-208,-21,True,79
18,17,238,239,306,-208,-259/17,True,79
18,18,238,239,315,-208,-161/17,True,79
18,19,238,239,322,-208,-97/17,True,79
18,20,238,239,329,-208,-33/17,True,79
19,14,4084/17,241,272,-210,-706/17,True,80
19,15,4084/17,241,284,-209,-540/17,True,80
19,16,4084/17,241,296,-208,-22,True,80
19,17,4084/17,241,305,-208,-276/17,True,80
19,18,4084/17,241,314,-208,-178/17,True,80
19,19,4084/17,241,321,-208,-114/17,True,80
19,20,4084/17,241,327,-208,-67/17,True,80
20,14,4122/17,243,271,-210,-723/17,True,81
20,15,4122/17,243,282,-209,-574/17,True,81
20,16,4122/17,243,293,-208,-25,True,81
20,17,4122/17,243,301,-208,-344/17,True,81
20,18,4122/17,243,309,-208,-263/17,True,81
20,19,4122/17,243,315,-208,-216/17,True,81
20,20,4122/17,243,321,-208,-169/17,True,81
