task,compatible_rank_vectors,unspecified_candidates
5g_energy_consumption-10eca1f7da02,1,
acquire_valued_shoppers_challenge-f519aa482bb5,1,
airfoil_self_noise-6278f0ada559,1,
allstate_claims_severity-ac12f04f54e8,381,TA-TABDPT (default);TA-TABPFN-2.6 (default)
amazon_employee_access-4417c4c952bc,1,
amex_non_iid_1m-e2e64ee8b42e,381,TA-TABDPT (default);TA-TABPFN-2.6 (default)
anes_voting_2026-58a0e941922e,1,
aps_failure-b63fc6330117,1,
asp_potassco_classification-6cbac33e4d1f,1,
audiology_diagnosis-90d4820bace0,1,
bad_customer_detection-7b2ea3462dce,1,
bank_customer_churn-b1fc11f3ea36,1,
bank_marketing-ba2b45409a51,1,
biogeographical_ancestry_prediction-a940a550ed40,1,
biomechanical_orthopaedic_prediction-c744da7b0d83,1,
bioresponse-63f85b558d70,1,
blood_tests_drink_prediction-aeec267edab7,1,
blood_transfusion-c0b8fbb104f3,1,
body_density_prediction-19548b7220c1,1,
california_house_prices_2020-08905ffc576b,1,
cardiotocography-172ef52f9a1b,1,
churn-4ae7db677764,1,
cirrhosis_patient_survival_prediction-c8851fd8162a,1,
climate_model_weather_forecasting_1m-88f9bd87b0e4,381,TA-TABDPT (default);TA-TABPFN-2.6 (default)
clock_protein_toxicity-f1eed69eb784,1,
coffee_rating_prediction-5ff37781e0a3,1,
coil_2000-d498c6d7849f,1,
concrete_compressive_strength-4c0702dec5d1,1,
consumer_complaints_1m-853af219eb5a,381,TA-TABDPT (default);TA-TABPFN-2.6 (default)
cooking_time_1m-835a54525572,381,TA-TABDPT (default);TA-TABPFN-2.6 (default)
covertype-1ed1c3d23864,381,TA-TABDPT (default);TA-TABPFN-2.6 (default)
credit_approval-a37d9105992b,1,
credit_card_clients_default-9470ea90c86d,1,
credit_g-6ced9fa4ef3f,1,
customer_satisfaction_in_airline-717af216790d,1,
delivery_eta_1m-2a88c3ab9376,381,TA-TABDPT (default);TA-TABPFN-2.6 (default)
dementia_prediction-d8ce15bd8d63,1,
diabetes_130_us-a06cb03600f0,1,
diamonds-910d3c5757be,1,
drug_induced_autoimmunity_prediction-752f934a6ee0,1,
early_learning_predictors-90d92cf6004c,1,
early_stage_diabetes_risk_prediction-51d4ebef5816,1,
ecoli_proteins-88ead48fb030,1,
ecommerce_shipping-db33e797abb9,1,
electric_motor_temperature_prediction-a13b29b9e53d,381,TA-TABDPT (default);TA-TABPFN-2.6 (default)
emscad-1790bb44ad91,1,
eryhemato_squamous_disease-a64cf6ea937e,1,
fiat_500-b26e24c630ed,1,
fitness_club-95daf6614f7a,1,
food_delivery_time-c2db6ce03f6d,1,
forensic_glass_identification-e304196b0ccc,1,
forest_fires-7dc3af8601af,1,
gallstone_disease-63982cfe3e7c,1,
garments_worker_productivity-7b6a94e87c93,1,
ghanas_indigenous_intel-ecbbda50d44e,1,
give_me_some_credit-51f4a5f15bd6,1,
hazelnut_spread_contaminant_detection-2e831ed5986d,1,
healthcare_insurance_expenses-ad067e29f4ae,1,
heart_disease_cleveland-1e633334e0ef,1,
heart_disease_hungary-f5ca5cfb8352,1,
heart_disease_va_long_beach-062b5d1dcb90,1,
heart_failure_followup_survival-25d12c8bf5bb,1,
heloc-d2ac12c6b994,1,
hepatitis_c_prediction-d17a9e02b43b,1,
hepatitis_survival_prediction-d1673748bbbe,1,
hiva_agnostic-c4b35582c204,1,
home_credit_default_risk-1b1ae7eb0542,381,TA-TABDPT (default);TA-TABPFN-2.6 (default)
home_credit_default_stability_1m-e56e2cf55fa2,381,TA-TABDPT (default);TA-TABPFN-2.6 (default)
homeq_default_prediction-6da1464558b9,1,
homesite_quote_conversion-f57214c4e0ab,381,TA-TABDPT (default);TA-TABPFN-2.6 (default)
horse_colic_survival-e1beb13d0b4e,1,
hotel_booking_demand-9541da6f5a2b,1,
houses-ca1697d5c050,1,
hr_analytics-9f0cb22a2cd4,1,
ieee_fraud_detection-5e0af5cbbb73,381,TA-TABDPT (default);TA-TABPFN-2.6 (default)
immoscout_german_house_prices-58b4f389c67d,1,
in_vehicle_coupon_recommendation-102e68b480bd,1,
indian_liver_patient_dataset-0216cd985bcf,1,
iranian_churn-87d6fa636729,1,
jm1-c8cfe392b650,1,
kdd_cup_09_appetency-72d0143e7c3d,1,
kick-57821d387256,1,
kickstarter-fc5123d788a6,381,TA-TABDPT (default);TA-TABPFN-2.6 (default)
labour_inspection_compliance-17b501f52bd1,1,
lending_club_1m-f6bf13e264e4,381,TA-TABDPT (default);TA-TABPFN-2.6 (default)
ljubljana_breast_cancer-28c8b88c6b23,1,
ljubljana_primary_tumor-b1acf2d83b0d,1,
lung_cancer-48c9b1f8934d,1,
lung_cancer_epithelial_genexp-ff6233558b2e,1,
maps_router_eta_1m-8072a09ffab6,381,TA-TABDPT (default);TA-TABPFN-2.6 (default)
marketing_campaign-45b76b0f0de6,1,
maternal_health_risk-002da4815804,1,
mercari_price_suggestion_1m-12cff1856413,381,TA-TABDPT (default);TA-TABPFN-2.6 (default)
mercedes_benz_greener_manufacturing-da8ac0e00317,1,
miami_housing-77ada7242bed,1,
mic-ba10980b94f8,1,
mice_protein_trisomy_discriminant-14c7a0eb99a0,1,
micro_mass-5deb16d4fa0e,1,
musk-16dca0dbddf5,1,
mutual_funds_india-5fbf8efc1836,1,
naticusdroid_android_permissions_dataset-c7f072cebb01,1,
obesity_estimation-37bb57808420,1,
online_shoppers_purchasing_intention_dat-7c9d5262e1c0,1,
otto_group_product_classification_challe-08decc7aebcb,1,
pancreatic_cancer_mouse_detection-bebbbfb72cb4,1,
parkinsons_biomedical_voice_measurements-44c2da69ace1,1,
physiochemical_protein-d68ec1dd11a4,1,
polish_companies_bankruptcy-c6e7be38cb09,1,
porto_seguro-7894967113f3,381,TA-TABDPT (default);TA-TABPFN-2.6 (default)
predict_students_dropout_and_academic_su-60806510bdda,1,
prostate_cancer_detection-d59b58af2363,1,
pva_revenue_prediction_kddcup98-94a4b79d0042,1,
qsar_aquatic_toxicity-96e503f00d74,1,
qsar_biodeg-99edbe20f66b,1,
qsar_fish_toxicity-7d92081eed10,1,
qsar_tid_11-34170685abe8,1,
regensburg_pediatric_appendicitis-e7c24901d0c7,1,
rossmann_store_sales-7f007635f770,381,TA-TABDPT (default);TA-TABPFN-2.6 (default)
santander_customer_satisfaction-504299481d76,1,
santander_customer_transaction_predictio-23a97d4b68f1,381,TA-TABDPT (default);TA-TABPFN-2.6 (default)
santander_transaction_value-46443292502e,1,
sat11_hand_algo_runtime-cda3af888024,1,
sberbank_housing_market_forecasting-54316cfd1a18,1,
sdss_17-3d9b16fdea21,1,
seismic_bumps-9636045db12f,1,
sepsis_prediction_1m-77a236a7d8eb,381,TA-TABDPT (default);TA-TABPFN-2.6 (default)
sepsis_survival_minimal_clinical_records-225532acc0df,1,
sf_permit_time-a3faf4c318ef,1,
south_africa_coronary_heart_disease-0e8d7cd42b03,1,
splice-0b61e96684a9,1,
student_portuguese_performance-3bb888dc8310,1,
superconductivity-f6f2e1d679cc,1,
taiwanese_bankruptcy_prediction-e1d1c0962bcb,1,
telemonitoring_parkinsons_biomedical_voi-c608f1a3d898,1,
thyroid_discordant-1111dc4e4f7d,1,
tour_travels_churn-638a10e1adbe,1,
video_game_fps_prediction-af230e95b2ad,1,
video_transcoding_time_prediction-1aa8b8149615,1,
website_phishing-e1ffdd9e6d3a,1,
wids_diabetes_mellitus-d05f898265f2,1,
wine_quality-6ad3969edbaa,1,
wine_world_cost-59804d5f92e6,1,
