location,manuscript value,source output,absolute difference,status
Table 2 TabArena D,51,released case summary: 51,0,PASS
Table 2 TabArena M,14,released case summary: 14,0,PASS
Table 2 TabArena Top-1,0.0366,released Top-k certificate: 0.036601307189542499,1.3071895424987545e-06,PASS
Table 2 TabArena Top-3,0.02832,released Top-k certificate: 0.028322440087145899,2.4400871458975237e-06,PASS
Table 2 TabArena Top-5,0.00545,released Top-k certificate: 0.0054466230936819002,3.3769063180998093e-06,PASS
Table 2 BenchPress D,11,released case summary: 11,0,PASS
Table 2 BenchPress M,10,released case summary: 10,0,PASS
Table 2 BenchPress Top-1,0.09091,released Top-k certificate: 0.090909090909090801,9.0909090920410218e-07,PASS
Table 2 BenchPress Top-3,0.04091,released Top-k certificate: 0.040909090909090999,9.0909090900287426e-07,PASS
Table 2 BenchPress Top-5,0.17172,released Top-k certificate: 0.17171717171717171,2.8282828282988337e-06,PASS
Table 2 BeyondArena D,122,released case summary: 122,0,PASS
Table 2 BeyondArena M,11,released case summary: 11,0,PASS
Table 2 BeyondArena Top-1,0.01867,released Top-k certificate: 0.018670309653916101,3.0965391610224269e-07,PASS
Table 2 BeyondArena Top-3,0.08607,released Top-k certificate: 0.086065573770491802,4.4262295081920477e-06,PASS
Table 2 BeyondArena Top-5,0.01892,released Top-k certificate: 0.018915510718789399,4.489281210599827e-06,PASS
TabArena text Top-1,0.0366013072,tabarena_topk_certificates.csv: 0.036601307189542499,1.0457502919170025e-11,PASS
TabArena text Top-3,0.0283224401,tabarena_topk_certificates.csv: 0.028322440087145899,1.2854099729064927e-11,PASS
TabArena text Top-5,0.0054466231,tabarena_topk_certificates.csv: 0.0054466230936819002,6.3180996892620023e-12,PASS
Table 3 RealMLP global,0.0,TABARENA_GLOBAL_FEASIBLE_WINNER_ENTRY_RADII.csv: 0,0,PASS
Table 3 RealMLP pairwise,0.0,TABARENA_GLOBAL_FEASIBLE_WINNER_ENTRY_RADII.csv: 0,0,PASS
Table 3 RealMLP gap,0.0,TABARENA_GLOBAL_FEASIBLE_WINNER_ENTRY_RADII.csv: 0,0,PASS
Table 3 LightGBM global,0.0366,TABARENA_GLOBAL_FEASIBLE_WINNER_ENTRY_RADII.csv: 0.036601307189542499,1.3071895424987545e-06,PASS
Table 3 LightGBM pairwise,0.0366,TABARENA_GLOBAL_FEASIBLE_WINNER_ENTRY_RADII.csv: 0.036601307189542499,1.3071895424987545e-06,PASS
Table 3 LightGBM gap,0.0,TABARENA_GLOBAL_FEASIBLE_WINNER_ENTRY_RADII.csv: 2.775557561562892e-17,2.775557561562892e-17,PASS
Table 3 TabM global,0.03922,TABARENA_GLOBAL_FEASIBLE_WINNER_ENTRY_RADII.csv: 0.039215686274509803,4.3137254901945421e-06,PASS
Table 3 TabM pairwise,0.03922,TABARENA_GLOBAL_FEASIBLE_WINNER_ENTRY_RADII.csv: 0.039215686274509699,4.3137254902986255e-06,PASS
