case_id,winner,competitor,expected_finite,observed_finite,expected_radius_tv,observed_radius_tv,absolute_difference,status
primary11__all__rank__equal,TA-TABPFN-2.6 (default),LR (tuned + ensemble),True,True,0.3635831381733022,0.36358313817330185,3.3306690738754696e-16,PASS
primary11__all__rank__equal,TA-TABPFN-2.6 (default),RF (tuned + ensemble),True,True,0.3763040238450076,0.3763040238450076,0.0,PASS
primary11__all__rank__equal,TA-TABPFN-2.6 (default),XT (tuned + ensemble),True,True,0.2792740046838409,0.2792740046838403,6.106226635438361e-16,PASS
primary11__all__rank__equal,TA-TABPFN-2.6 (default),CAT (tuned + ensemble),True,True,0.1219262295081969,0.12192622950819657,3.3306690738754696e-16,PASS
primary11__all__rank__equal,TA-TABPFN-2.6 (default),GBM (tuned + ensemble),True,True,0.1437158469945357,0.14371584699453532,3.885780586188048e-16,PASS
primary11__all__rank__equal,TA-TABPFN-2.6 (default),XGB (tuned + ensemble),True,True,0.2014051522248245,0.2014051522248241,3.885780586188048e-16,PASS
primary11__all__rank__equal,TA-TABPFN-2.6 (default),TA-REALMLP (tuned + ensemble),True,True,0.0562060889929743,0.056206088992974176,1.249000902703301e-16,PASS
primary11__all__rank__equal,TA-TABPFN-2.6 (default),TA-TABM (tuned + ensemble),True,True,0.1475409836065575,0.14754098360655718,3.3306690738754696e-16,PASS
primary11__all__rank__equal,TA-TABPFN-2.6 (default),TA-TABDPT (default),True,True,0.1890368852459018,0.1890368852459014,3.885780586188048e-16,PASS
primary11__all__rank__equal,TA-TABPFN-2.6 (default),TA-TABICLv2 (default),True,True,0.0186703096539161,0.018670309653916185,8.326672684688674e-17,PASS
primary11__iid__rank__equal,TA-TABICLv2 (default),LR (tuned + ensemble),True,True,0.3207331042382587,0.320733104238257,1.6653345369377348e-15,PASS
primary11__iid__rank__equal,TA-TABICLv2 (default),RF (tuned + ensemble),True,True,0.390034364261168,0.39003436426116644,1.5543122344752192e-15,PASS
primary11__iid__rank__equal,TA-TABICLv2 (default),XT (tuned + ensemble),True,True,0.2852233676975946,0.28522336769759293,1.6653345369377348e-15,PASS
